subject,description,category
sightseeing tour,I need advice about sightseeing tour. Need sightseeing places in the city.,Tourism
need shelter,I need advice about need shelter. I need emergency shelter tonight.,Homelessness
Lab report,Can you help me with this? How do I write a chemistry lab report?,High School Education
running endurance,I need advice about running endurance. Tips to build running endurance.,Running Sports
Help with gift shopping,Need gift ideas to buy online.,Shopping
Help with hamstring injury,I pulled my hamstring while exercising.,Leg Medical
Housing program,Can you help me with this? How to apply for a government housing program?,Housing
Online shopping,Can you help me with this? Best websites for online shopping.,Shopping
School bus,How do I register for school bus service?,School
Handball coaching,Can you help me with this? Looking for handball coaching nearby.,Handball Sports
running shoes,I need advice about running shoes. Best shoes for long distance running.,Running Sports
Baseball training,Need baseball training drills.,Baseball Sports
hockey rules,I need advice about hockey rules. Explain basic hockey rules.,Hockey Sports
Head trauma,Should I see a doctor after head trauma?,Head Medical
Science project,Ideas for a middle school science fair project.,Middle School Education
Help with home inspection,What should I check before buying a house?,Housing
vegetable garden,I need advice about vegetable garden. I want to start a small vegetable garden.,Gardening
Stress management,Need help managing stress and anxiety.,Depression Medical
Help with hoodie recommendation,I need stylish hoodies for college.,Clothes
find life partner,I need advice about find life partner. Looking for matrimonial websites to find a life partner.,Matrimonial
Help with checking account fees,I want to understand monthly fees on my checking account.,Banking
Help with rental application,How do I apply for an apartment rental?,Rental
Return item,Can you help me with this? How do I return an item I bought online?,Shopping
Museum visit,Which museums should tourists visit?,Tourism
electronics store,I need advice about electronics store. Recommend electronics shopping websites.,Shopping
Help with library books,How can I borrow books from a public library?,Books
Admission essay,How do I write a strong college admission essay?,College Admissions
study guide books,I need advice about study guide books. I need exam preparation books for high school.,Books
Apply for jobs,How do I apply for jobs online?,Jobs
Batting tips,How can I improve cricket batting?,Cricket Sports
Tomato plants,How to grow tomatoes in a backyard garden?,Gardening
Finger swelling,My finger is swollen and painful.,Hand Medical
Help with travel itinerary,Plan a 6 day travel itinerary.,Travel
Help with jogging plan,Create a weekly jogging plan.,Jogging Sports
handball strategy,I need advice about handball strategy. Need handball team strategy tips.,Handball Sports
tenant issue,I need advice about tenant issue. Need help understanding tenant rights.,Rental
Help with eye infection,I think I may have an eye infection.,Eye Medical
Tourist visa,Can you help me with this? Need help with tourist visa requirements.,Travel
etf investment,I need advice about etf investment. What are good ETFs for long-term investing?,Investing
Ankle injury,I twisted my ankle during jogging.,Leg Medical
Eye infection,I think I may have an eye infection.,Eye Medical
Help with novel suggestions,Suggest some popular fiction novels.,Books
wedding match,I need advice about wedding match. Looking for a suitable marriage match.,Matrimonial
High school project,Ideas for a high school research project.,High School Education
University exam,How should I study for university finals?,University Education
Baseball rules,Can you help me with this? Explain basic baseball rules.,Baseball Sports
Financial planning,Can you help me with this? How should I plan my personal finances?,Finance
Contact lens issue,Can you help me with this? My contact lenses are irritating my eyes.,Eye Medical
Crisis support,Need immediate help because I have nowhere to stay.,Homelessness
Technical analysis,Can you help me with this? How do technical indicators work?,Stocks
Carpal tunnel,Can you help me with this? What are symptoms of carpal tunnel?,Hand Medical
LinkedIn profile,How can I improve my LinkedIn profile?,Employment
Long term investment,Best long-term investment options.,Investing
Help with database class,Help understanding database normalization.,University Education
Eye doctor,Can you help me with this? Need an ophthalmologist recommendation.,Eye Medical
Bake cake,How can I bake a chocolate cake without eggs?,Cooking
Help with writing sentences,How can a child practice writing simple sentences?,Elementary Education
price deal,I need advice about price deal. Find the best price for a product.,Shopping
transfer school,I need advice about transfer school. How do I transfer to a different school?,School
Historical places,Can you help me with this? Best historical places to visit.,Tourism
Calculus basics,Can you help me with this? Need help with derivatives and limits.,High School Education
Help with baseball glove,Need recommendations for baseball gloves.,Baseball Sports
Help with basic math help,Need help teaching addition and subtraction to a child.,Elementary Education
Resume review,Can you help me with this? Need feedback on my resume for software roles.,Employment
find roommates,I need advice about find roommates. Looking for roommates for a shared rental.,Rental
Shopping sale,Can you help me with this? When is the next big shopping sale?,Shopping
Bank statement request,Can you help me with this? I need a copy of my recent bank statement.,Banking
Help with geometry basics,Explain angles and triangles for middle school.,Middle School Education
indoor plants,I need advice about indoor plants. Best indoor plants for apartments.,Gardening
Help with handball team,How to join a handball team?,Handball Sports
Help with credit score,How can I improve my credit score?,Finance
Novel suggestions,Can you help me with this? Suggest some popular fiction novels.,Books
Baseball tournament,Can you help me with this? Find local baseball tournaments.,Baseball Sports
Writing sentences,Can you help me with this? How can a child practice writing simple sentences?,Elementary Education
Help with class schedule,Need help understanding school class schedule.,School
Job websites,Best websites to find jobs.,Jobs
Help with mortgage help,How do I apply for a mortgage?,Housing
Baseball batting,How can I improve my baseball batting?,Baseball Sports
financial planning,I need advice about financial planning. How should I plan my personal finances?,Finance
historical places,I need advice about historical places. Best historical places to visit.,Tourism
fractions help,I need advice about fractions help. Need help understanding fractions and decimals.,Middle School Education
Packing list,Can you help me with this? What should I pack for a trip?,Travel
Temporary housing,Where can I find temporary housing assistance?,Homelessness
neighborhood choice,I need advice about neighborhood choice. How do I choose a safe neighborhood to live in?,Housing
Head pressure,Can you help me with this? I feel pressure in my head.,Head Medical
Itchy eyes,Can you help me with this? Why are my eyes itchy and red?,Eye Medical
Jogging fitness,Can you help me with this? Use jogging to improve fitness.,Jogging Sports
Saving money,Can you help me with this? Give me tips to save money every month.,Finance
ankle injury,I need advice about ankle injury. I twisted my ankle during jogging.,Leg Medical
neurologist help,I need advice about neurologist help. Need a recommendation for a brain specialist.,Brain Medical
Backhand practice,Can you help me with this? How to improve tennis backhand?,Tennis Sports
matchmaking advice,I need advice about matchmaking advice. How should I evaluate a matrimonial match?,Matrimonial
Handball strategy,Need handball team strategy tips.,Handball Sports
Buy textbooks,I need affordable textbooks for my college classes.,Books
Help with thumb pain,My thumb hurts when I move it.,Hand Medical
Cricket gear,Can you help me with this? What equipment is needed for cricket?,Cricket Sports
Interview preparation,Can you help me with this? How should I prepare for a job interview?,Employment
Buy laptop,Where can I buy a gaming laptop?,Shopping
Help with sneaker outfit,What clothes match with white sneakers?,Clothes
Help with essay writing,How to write a high school English essay?,High School Education
Vegetable garden,Can you help me with this? I want to start a small vegetable garden.,Gardening
world cup,I need advice about world cup. Latest cricket world cup updates.,Cricket Sports
Help with phonics practice,Looking for phonics activities for children.,Elementary Education
student loan,I need advice about student loan. Need advice on paying student loans.,Finance
Tennis racket,Can you help me with this? Best tennis racket for beginners.,Tennis Sports
foot pain,I need advice about foot pain. My foot hurts when standing.,Leg Medical
self help books,I need advice about self help books. I want self improvement and productivity book recommendations.,Books
Social studies,Can you help me with this? Help with middle school social studies homework.,Middle School Education
Stock trading,Can you help me with this? How do I buy and sell stocks online?,Stocks
Emotional support,Can you help me with this? I feel emotionally overwhelmed and need help.,Depression Medical
Tenant issue,Need help understanding tenant rights.,Rental
Help with fractions help,Need help understanding fractions and decimals.,Middle School Education
Help with wire transfer question,I need to send money through a bank wire transfer.,Banking
Court practice,Can you help me with this? Need tips for indoor basketball practice.,Basketball Sports
Race preparation,How to prepare for a running race?,Running Sports
Hamstring injury,I pulled my hamstring while exercising.,Leg Medical
Help with saving money,Give me tips to save money every month.,Finance
Watering schedule,Can you help me with this? Need a watering schedule for houseplants.,Gardening
Cognitive issue,I am struggling with focus and memory lately.,Brain Medical
Help with temporary housing,Where can I find temporary housing assistance?,Homelessness
University exam,Can you help me with this? How should I study for university finals?,University Education
Eye infection,Can you help me with this? I think I may have an eye infection.,Eye Medical
Chicken recipe,How should I cook chicken breast properly?,Cooking
LinkedIn profile,Can you help me with this? How can I improve my LinkedIn profile?,Employment
rental listing,I need advice about rental listing. Find rental properties near downtown.,Rental
Jogging weight loss,Can you help me with this? Can jogging help with weight loss?,Jogging Sports
Help with baseball training,Need baseball training drills.,Baseball Sports
Help with packing list,What should I pack for a trip?,Travel
Dizziness after fall,I feel dizzy after falling and hitting my head.,Head Medical
School supplies,Can you help me with this? What supplies are needed for school?,School
Help with meal prep,Give me healthy meal prep ideas for the week.,Cooking
Soil improvement,Can you help me with this? How do I improve soil for gardening?,Gardening
Anxiety support,Can you help me with this? Need help dealing with anxiety and stress.,Depression Medical
Track running,Need advice for track running practice.,Running Sports
Help with hockey gear,What equipment is needed for hockey?,Hockey Sports
Help with head pain,Sharp pain on one side of my head.,Head Medical
marriage proposal,I need advice about marriage proposal. Need help responding to a marriage proposal.,Matrimonial
Help with book recommendations,Recommend good mystery novels to read this month.,Books
Help with tennis tournament,Find local tennis tournaments.,Tennis Sports
Help with jogging weight loss,Can jogging help with weight loss?,Jogging Sports
Grade 7 math,Need help solving middle school algebra problems.,Middle School Education
Road trip,Plan a road trip with hotels and stops.,Travel
Clothes for wedding,Can you help me with this? What should I wear to a wedding event?,Clothes
Marriage proposal,Need help responding to a marriage proposal.,Matrimonial
Throwing practice,Can you help me with this? How to improve handball throwing power?,Handball Sports
Help with kids clothes,Looking for affordable clothes for children.,Clothes
Head pressure,I feel pressure in my head.,Head Medical
Help with shopping sale,When is the next big shopping sale?,Shopping
rental application,I need advice about rental application. How do I apply for an apartment rental?,Rental
batting tips,I need advice about batting tips. How can I improve cricket batting?,Cricket Sports
School presentation,Can you help me with this? Need topic ideas for a middle school presentation.,Middle School Education
food delivery,I need advice about food delivery. Need cheap food delivery options.,Food
eye infection,I need advice about eye infection. I think I may have an eye infection.,Eye Medical
Help with marriage proposal,Need help responding to a marriage proposal.,Matrimonial
SAT preparation,I want to prepare for the SAT exam.,College Admissions
Help with housing assistance,Looking for low-income housing assistance.,Housing
NHL news,Latest hockey league updates.,Hockey Sports
hand numbness,I need advice about hand numbness. My hand feels numb and tingling.,Hand Medical
school supplies,I need advice about school supplies. What supplies are needed for school?,School
housing program,I need advice about housing program. How to apply for a government housing program?,Housing
Serve tips,How do I improve my tennis serve?,Tennis Sports
MLB updates,Latest baseball match scores and news.,Baseball Sports
Smartphone deal,Can you help me with this? Looking for affordable smartphone deals.,Shopping
linkedin profile,I need advice about linkedin profile. How can I improve my LinkedIn profile?,Employment
Multiplication tables,How to teach multiplication tables to kids?,Elementary Education
Credit card payment,I want to pay my credit card bill through my bank app.,Banking
investment account,I need advice about investment account. How to open an investment account?,Investing
Transfer school,Can you help me with this? How do I transfer to a different school?,School
Help with apply for jobs,How do I apply for jobs online?,Jobs
Help with sightseeing tour,Need sightseeing places in the city.,Tourism
Hockey rules,Explain basic hockey rules.,Hockey Sports
Family housing,Need housing suitable for a family.,Housing
Hockey coaching,Can you help me with this? Looking for hockey coaching nearby.,Hockey Sports
Depression symptoms,What are symptoms of depression?,Depression Medical
Leg swelling,My leg is swollen and painful.,Leg Medical
Hockey rules,Can you help me with this? Explain basic hockey rules.,Hockey Sports
mlb updates,I need advice about mlb updates. Latest baseball match scores and news.,Baseball Sports
Help with pasta recipe,How do I cook creamy pasta at home?,Cooking
Portfolio advice,Can you help me with this? How should I diversify my investment portfolio?,Investing
Help with reading comprehension,Practice questions for middle school reading.,Middle School Education
calf pain,I need advice about calf pain. My calf muscle hurts after workout.,Leg Medical
Apply for jobs,Can you help me with this? How do I apply for jobs online?,Jobs
Help with tourism destination,Popular tourism destinations in the area.,Tourism
Help with wrist pain,My wrist hurts after typing all day.,Hand Medical
Biology notes,Can you help me with this? Need notes on cells and genetics.,High School Education
sat math,I need advice about sat math. Need high school math practice for SAT.,High School Education
Help with handball rules,How is handball played?,Handball Sports
Help with buy house,I want advice for buying my first home.,Housing
Soup recipe,How do I make homemade tomato soup?,Cooking
Gift shopping,Can you help me with this? Need gift ideas to buy online.,Shopping
Affordable housing,Can you help me with this? Need help finding affordable housing options.,Housing
Flower garden,Can you help me with this? Need tips for growing flowers at home.,Gardening
Help with ebook help,Where can I buy or download ebooks legally?,Books
Family marriage,How to discuss arranged marriage with family?,Matrimonial
Help with price deal,Find the best price for a product.,Shopping
Head trauma,Can you help me with this? Should I see a doctor after head trauma?,Head Medical
tennis tournament,I need advice about tennis tournament. Find local tennis tournaments.,Tennis Sports
Final year project,Need ideas for a senior year project.,University Education
Help with crisis support,Need immediate help because I have nowhere to stay.,Homelessness
temporary housing,I need advice about temporary housing. Where can I find temporary housing assistance?,Homelessness
flower garden,I need advice about flower garden. Need tips for growing flowers at home.,Gardening
Brain scan,Can you help me with this? Do I need a brain scan for recurring headaches?,Brain Medical
cooking tips,I need advice about cooking tips. I am new to cooking and need basic kitchen tips.,Cooking
Research paper,How do I write an academic research paper?,University Education
reading comprehension,I need advice about reading comprehension. Practice questions for middle school reading.,Middle School Education
dunk training,I need advice about dunk training. How can I improve vertical jump for basketball?,Basketball Sports
Baseball glove,Can you help me with this? Need recommendations for baseball gloves.,Baseball Sports
mortgage help,I need advice about mortgage help. How do I apply for a mortgage?,Housing
spelling help,I need advice about spelling help. My child needs help with spelling words.,Elementary Education
Help with handball tournament,Find local handball tournaments.,Handball Sports
bank statement request,I need advice about bank statement request. I need a copy of my recent bank statement.,Banking
Library books,How can I borrow books from a public library?,Books
Help with handball equipment,What equipment is needed for handball?,Handball Sports
scalp pain,I need advice about scalp pain. My scalp hurts after an injury.,Head Medical
Help with leg cramps,I get muscle cramps in my legs.,Leg Medical
Help with healthy food,Suggest healthy food options for lunch.,Food
Insurance question,Can you help me with this? What type of insurance should I consider?,Finance
Academic citation,How to cite sources in APA format?,University Education
Tourist visa,Need help with tourist visa requirements.,Travel
Help with finger cut,Need advice for a deep cut on my finger.,Hand Medical
Rental application,How do I apply for an apartment rental?,Rental
Jogging plan,Can you help me with this? Create a weekly jogging plan.,Jogging Sports
Panic attacks,How can I manage panic attacks?,Depression Medical
Historical places,Best historical places to visit.,Tourism
student jobs,I need advice about student jobs. Part-time jobs for college students.,Jobs
Leg swelling,Can you help me with this? My leg is swollen and painful.,Leg Medical
Help with homeless resources,Find local resources for people without housing.,Homelessness
Move in date,Can you help me with this? Looking for apartments available next month.,Rental
Help with throwing practice,How to improve handball throwing power?,Handball Sports
Distance running,Can you help me with this? Training plan for distance running.,Running Sports
Help with hockey rules,Explain basic hockey rules.,Hockey Sports
Help with concussion concern,I may have a concussion after an accident.,Brain Medical
Help with hockey training,How can I improve hockey skills?,Hockey Sports
matrimonial app,I need advice about matrimonial app. Which matrimonial apps are trustworthy?,Matrimonial
Handball rules,How is handball played?,Handball Sports
Help with travel insurance,Should I buy travel insurance?,Travel
Help with move in date,Looking for apartments available next month.,Rental
Help with share market,Explain stock market trends.,Stocks
Broken hand,How do I know if my hand is broken?,Hand Medical
Writing sentences,How can a child practice writing simple sentences?,Elementary Education
Hockey gear,What equipment is needed for hockey?,Hockey Sports
rent increase,I need advice about rent increase. My rent increased and I need advice.,Rental
Travel insurance,Can you help me with this? Should I buy travel insurance?,Travel
Memory problem,Can you help me with this? I am having memory issues and need medical advice.,Brain Medical
yellow leaves,I need advice about yellow leaves. My plant leaves are turning yellow.,Gardening
Reading practice,Need simple reading exercises for elementary students.,Elementary Education
Beach vacation,Can you help me with this? Best beach vacation places for couples.,Travel
Tax filing,Can you help me with this? Need help filing taxes this year.,Finance
Help with career advice,Need advice for growing my software engineering career.,Employment
library books,I need advice about library books. How can I borrow books from a public library?,Books
housing crisis,I need advice about housing crisis. I lost my housing and need support.,Homelessness
Help with interview preparation,How should I prepare for a job interview?,Employment
Cricket rules,Can you help me with this? Explain basic cricket rules.,Cricket Sports
Help with brain scan,Do I need a brain scan for recurring headaches?,Brain Medical
handball drills,I need advice about handball drills. Need handball training drills.,Handball Sports
Buy laptop,Can you help me with this? Where can I buy a gaming laptop?,Shopping
handball equipment,I need advice about handball equipment. What equipment is needed for handball?,Handball Sports
university exam,I need advice about university exam. How should I study for university finals?,University Education
move in date,I need advice about move in date. Looking for apartments available next month.,Rental
Help with parent meeting,Need help preparing for a parent teacher meeting.,School
emergency help,I need advice about emergency help. I need urgent help with shelter and basic needs.,Homelessness
Bowling practice,Can you help me with this? Need tips for fast bowling.,Cricket Sports
Help with baseball tournament,Find local baseball tournaments.,Baseball Sports
market news,I need advice about market news. Latest stock market news.,Stocks
Story reading,Can you help me with this? Suggest story reading practice for kids.,Elementary Education
Plant care,Can you help me with this? How often should I water indoor plants?,Gardening
Cooking tips,I am new to cooking and need basic kitchen tips.,Cooking
evening jog,I need advice about evening jog. Is evening jogging better than morning jogging?,Jogging Sports
Buy t-shirt,Can you help me with this? I want to buy comfortable cotton t-shirts for summer.,Clothes
Help with technical analysis,How do technical indicators work?,Stocks
Help with baseball batting,How can I improve my baseball batting?,Baseball Sports
Help with buy shares,How can I buy company shares?,Stocks
Help with summer outfit,Need ideas for summer outfits and casual wear.,Clothes
Help with ice hockey,Tips for ice hockey skating practice.,Hockey Sports
stress management,I need advice about stress management. Need help managing stress and anxiety.,Depression Medical
basketball rules,I need advice about basketball rules. Explain basketball fouls and rules.,Basketball Sports
NBA highlights,Show latest basketball game highlights.,Basketball Sports
Hockey training,How can I improve hockey skills?,Hockey Sports
Tennis rules,Can you help me with this? Explain basic tennis scoring rules.,Tennis Sports
lab report,I need advice about lab report. How do I write a chemistry lab report?,High School Education
Remote job,Can you help me with this? Need remote work opportunities.,Jobs
dizziness issue,I need advice about dizziness issue. I feel dizzy and have trouble concentrating.,Brain Medical
buy house,I need advice about buy house. I want advice for buying my first home.,Housing
expense tracking,I need advice about expense tracking. Best way to track daily expenses.,Finance
Basketball rules,Explain basketball fouls and rules.,Basketball Sports
data structures,I need advice about data structures. Need help with algorithms and data structures.,University Education
baseball gear,I need advice about baseball gear. What equipment is needed for baseball?,Baseball Sports
Help with city tour,Need a city tour plan for tourists.,Tourism
Online shopping,Best websites for online shopping.,Shopping
Help with smartphone deal,Looking for affordable smartphone deals.,Shopping
graduate course,I need advice about graduate course. Which graduate courses are good for AI specialization?,University Education
Shin pain,Can you help me with this? My shins hurt after running.,Leg Medical
Jogging pace,Can you help me with this? What is a good jogging pace for beginners?,Jogging Sports
Concussion concern,I may have a concussion after an accident.,Brain Medical
Help with court practice,Need tennis court practice tips.,Tennis Sports
Housing crisis,I lost my housing and need support.,Homelessness
short term rental,I need advice about short term rental. Looking for short-term rental housing.,Rental
5k training,I need advice about 5k training. Create a beginner 5k running plan.,Running Sports
panic attacks,I need advice about panic attacks. How can I manage panic attacks?,Depression Medical
Vegan food,Can you help me with this? Need vegan food places nearby.,Food
grammar practice,I need advice about grammar practice. Middle school English grammar exercises needed.,Middle School Education
university assignment,I need advice about university assignment. Need help with a computer science university assignment.,University Education
Baseball gear,What equipment is needed for baseball?,Baseball Sports
Student loan,Need advice on paying student loans.,Finance
Marathon training,Can you help me with this? How do I train for a marathon?,Running Sports
Help with running endurance,Tips to build running endurance.,Running Sports
Tennis racket,Best tennis racket for beginners.,Tennis Sports
Foot pain,My foot hurts when standing.,Leg Medical
Entry level job,Can you help me with this? Need entry-level software developer jobs.,Jobs
winter jacket,I need advice about winter jacket. Need a warm winter jacket for cold weather.,Clothes
Cheap flights,Need cheap flight tickets for vacation.,Travel
Study schedule,Can you help me with this? How should a middle school student prepare for exams?,Middle School Education
Help with chemistry assignment,Explain chemical reactions for high school.,High School Education
Help with local attractions,Popular local attractions for visitors.,Tourism
Debt payoff,Need a strategy to pay off credit card debt.,Finance
Basketball coaching,Looking for basketball coaching nearby.,Basketball Sports
Shelter application,How do I apply for a homeless shelter?,Homelessness
Debt payoff,Can you help me with this? Need a strategy to pay off credit card debt.,Finance
Handball coaching,Looking for handball coaching nearby.,Handball Sports
Multiplication tables,Can you help me with this? How to teach multiplication tables to kids?,Elementary Education
Sneaker outfit,Can you help me with this? What clothes match with white sneakers?,Clothes
Property search,Looking for houses for sale in my area.,Housing
School supplies,What supplies are needed for school?,School
meal prep,I need advice about meal prep. Give me healthy meal prep ideas for the week.,Cooking
Help with finger swelling,My finger is swollen and painful.,Hand Medical
salary negotiation,I need advice about salary negotiation. How do I negotiate salary after receiving an offer?,Employment
Help with wicket keeping,How to improve wicket keeping skills?,Cricket Sports
bank loan help,I need advice about bank loan help. I want information about personal loans from a bank.,Banking
Court practice,Need tips for indoor basketball practice.,Basketball Sports
Chemistry assignment,Can you help me with this? Explain chemical reactions for high school.,High School Education
head injury,I need advice about head injury. I hit my head and feel dizzy.,Head Medical
Help with investing basics,How do I start investing as a beginner?,Investing
Goalkeeping handball,Tips for handball goalkeeper practice.,Handball Sports
Help with bank statement request,I need a copy of my recent bank statement.,Banking
school uniform,I need advice about school uniform. Where can I buy school uniforms?,School
reading practice,I need advice about reading practice. Need simple reading exercises for elementary students.,Elementary Education
Tenant issue,Can you help me with this? Need help understanding tenant rights.,Rental
part time job,I need advice about part time job. Looking for part-time jobs near me.,Jobs
IPL schedule,Can you help me with this? When is the next IPL cricket match?,Cricket Sports
Help with expense tracking,Best way to track daily expenses.,Finance
Leg fracture,I think I may have fractured my leg.,Leg Medical
Flight cancellation,My flight was cancelled and I need help.,Travel
meal recommendation,I need advice about meal recommendation. What should I eat for dinner?,Food
Vegetarian food,Suggest vegetarian recipes with vegetables and rice.,Cooking
homeless support,I need advice about homeless support. Looking for community support because I am homeless.,Homelessness
city tour,I need advice about city tour. Need a city tour plan for tourists.,Tourism
Running form,Can you help me with this? How can I improve my running form?,Running Sports
plant care,I need advice about plant care. How often should I water indoor plants?,Gardening
career change,I need advice about career change. How can I switch from support to software development?,Employment
Knee pain,Can you help me with this? My knee hurts when I walk or run.,Leg Medical
Help with buy t-shirt,I want to buy comfortable cotton t-shirts for summer.,Clothes
Help with road trip,Plan a road trip with hotels and stops.,Travel
Children books,Looking for story books for elementary school children.,Books
Hotel booking,Looking for affordable hotels for my trip.,Travel
Help with application fee waiver,How can I request a college application fee waiver?,College Admissions
Help with evening jog,Is evening jogging better than morning jogging?,Jogging Sports
Help with basketball tournament,Find local basketball tournaments.,Basketball Sports
Emergency fund,How much should I keep in an emergency fund?,Finance
Compare products,Help me compare products before buying.,Shopping
Smartphone deal,Looking for affordable smartphone deals.,Shopping
jogging shoes,I need advice about jogging shoes. Need comfortable shoes for jogging.,Jogging Sports
Local attractions,Popular local attractions for visitors.,Tourism
Food assistance,Can you help me with this? Need help finding free meals and support services.,Homelessness
Help with indian cooking,How do I make simple Indian curry?,Cooking
local attractions,I need advice about local attractions. Popular local attractions for visitors.,Tourism
Tennis coaching,Can you help me with this? Looking for tennis lessons nearby.,Tennis Sports
Insurance question,What type of insurance should I consider?,Finance
Help with homeless support,Looking for community support because I am homeless.,Homelessness
red eyes,I need advice about red eyes. My eyes are red after wearing contacts.,Eye Medical
Help with resume review,Need feedback on my resume for software roles.,Employment
Cricket gear,What equipment is needed for cricket?,Cricket Sports
goalkeeping handball,I need advice about goalkeeping handball. Tips for handball goalkeeper practice.,Handball Sports
academic citation,I need advice about academic citation. How to cite sources in APA format?,University Education
Indian restaurant,Recommend Indian food near me.,Food
Food assistance,Need help finding free meals and support services.,Homelessness
Risk tolerance,How do I understand my investment risk level?,Investing
Help with batting tips,How can I improve cricket batting?,Cricket Sports
Part time job,Can you help me with this? Looking for part-time jobs near me.,Jobs
Help with baseball gear,What equipment is needed for baseball?,Baseball Sports
Help with distance running,Training plan for distance running.,Running Sports
Help with grade 7 math,Need help solving middle school algebra problems.,Middle School Education
Basketball drills,Can you help me with this? Need basketball practice drills.,Basketball Sports
Hand fracture,Can you help me with this? I may have a hand fracture after falling.,Hand Medical
emotional support,I need advice about emotional support. I feel emotionally overwhelmed and need help.,Depression Medical
head wound,I need advice about head wound. Need help treating a small head wound.,Head Medical
Pitching practice,Can you help me with this? Tips to improve baseball pitching.,Baseball Sports
Help with stock risk,What are risks of trading stocks?,Stocks
home inspection,I need advice about home inspection. What should I check before buying a house?,Housing
Lab report,How do I write a chemistry lab report?,High School Education
Dizziness after fall,Can you help me with this? I feel dizzy after falling and hitting my head.,Head Medical
offer decision,I need advice about offer decision. Need help comparing two employment offers.,Employment
Help with student loan,Need advice on paying student loans.,Finance
career advice,I need advice about career advice. Need advice for growing my software engineering career.,Employment
python book,I need advice about python book. What is a good book for learning Python programming?,Books
School admission,Can you help me with this? Need help enrolling my child in school.,School
warehouse job,I need advice about warehouse job. Looking for warehouse or retail jobs.,Jobs
History essay,Need help structuring a history essay.,High School Education
Hamstring injury,Can you help me with this? I pulled my hamstring while exercising.,Leg Medical
Ice hockey,Tips for ice hockey skating practice.,Hockey Sports
Summer outfit,Can you help me with this? Need ideas for summer outfits and casual wear.,Clothes
hockey training,I need advice about hockey training. How can I improve hockey skills?,Hockey Sports
relationship match,I need advice about relationship match. Looking for compatibility in marriage matching.,Matrimonial
Clothes for wedding,What should I wear to a wedding event?,Clothes
Help with breakfast spot,Where can I get breakfast nearby?,Food
Counseling nearby,Can you help me with this? Find counseling services for mental health.,Depression Medical
forehand drills,I need advice about forehand drills. Need forehand tennis drills.,Tennis Sports
study schedule,I need advice about study schedule. How should a middle school student prepare for exams?,Middle School Education
Wedding match,Can you help me with this? Looking for a suitable marriage match.,Matrimonial
Calculus basics,Need help with derivatives and limits.,High School Education
Serve tips,Can you help me with this? How do I improve my tennis serve?,Tennis Sports
Lease problem,I have an issue with my rental lease agreement.,Rental
eye pain,I need advice about eye pain. My eyes hurt when I use my laptop.,Eye Medical
security deposit,I need advice about security deposit. My landlord did not return my security deposit.,Rental
Cover letter,Can you help me with this? Help me write a professional cover letter.,Employment
chemistry assignment,I need advice about chemistry assignment. Explain chemical reactions for high school.,High School Education
beach vacation,I need advice about beach vacation. Best beach vacation places for couples.,Travel
Dizziness issue,Can you help me with this? I feel dizzy and have trouble concentrating.,Brain Medical
admission essay,I need advice about admission essay. How do I write a strong college admission essay?,College Admissions
Help with research paper,How do I write an academic research paper?,University Education
High school exams,How should I prepare for board exams?,High School Education
Affordable housing,Need help finding affordable housing options.,Housing
tennis coaching,I need advice about tennis coaching. Looking for tennis lessons nearby.,Tennis Sports
Ball handling,Can you help me with this? How to improve dribbling skills?,Basketball Sports
